Posting Date,Document Type,Document No.,G/L Account No.,Description,Gen. Posting Type,Gen. Bus. Posting Group,Gen. Prod. Posting Group,Amount,Bal. Account Type,Bal. Account No.,Entry No.,Additional-Currency Amount,Department Code,FA Entry No.,FA Entry Type,G/L Account Name,IC Partner Code,Job No.,Project Code,Quantity,Reason Code,Reversed,Reversed by Entry No.,Reversed Entry No.,Source Code,User ID,VAT Amount
31/12/2021, ,START,4010,Opening Entry, ,,,"-151,840.00",G/L Account,,21,0.00,,0, ,Deferred Taxes,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5120,Opening Entry, ,,,"-361,357.94",G/L Account,,22,0.00,,0, ,Mortgage,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5110,Opening Entry, ,,,"-64,282.40",G/L Account,,23,0.00,,0, ,Long-term Bank Loans,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5310,Opening Entry, ,,,"-461,142.64",G/L Account,,24,0.00,,0, ,Revolving Credit,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5310,Opening Entry, ,,,"-496,341.25",G/L Account,,25,0.00,,0, ,Revolving Credit,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5410,Opening Entry, ,,,"-505,152.17",G/L Account,,26,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5420,Opening Entry, ,,,"-69,276.07",G/L Account,,27,0.00,,0, ,"Vendors, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5780,Opening Entry, ,,,"-92,962.05",G/L Account,,28,0.00,,0, ,VAT Payable,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5810,Opening Entry, ,,,"-97,990.88",G/L Account,,29,0.00,,0, ,Withholding Taxes Payable,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5830,Opening Entry, ,,,"-14,702.43",G/L Account,,30,0.00,,0, ,Payroll Taxes Payable,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5840,Opening Entry, ,,,"-4,518.40",G/L Account,,31,0.00,,0, ,Vacation Compensation Payable,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,5920,Opening Entry, ,,,"-45,552.00",G/L Account,,32,0.00,,0, ,Corporate Taxes Payable,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
31/12/2021, ,START,3120,Opening Entry, ,,,"-488,329.71",G/L Account,,33,0.00,,0, ,Retained Earnings,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022,Invoice,108017,1320,Order 106015,Purchase,NATIONAL,MISC,"30,000.00",G/L Account,,34,0.00,ADM,1,Fixed Asset,Increases during the Year,,,MERCEDES,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,"7,500.00"
01/01/2022,Invoice,108017,5630,Order 106015, ,,,"7,500.00",G/L Account,,35,0.00,ADM,0, ,Purchase VAT 25 %,,,MERCEDES,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Invoice,108017,5410,Order 106015, ,,,"-37,500.00",G/L Account,,36,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Payment,108017,2940,Order 106015, ,,,"-37,500.00",Vendor,44127914,37,0.00,,0, ,Giro Account,,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Payment,108017,5410,Order 106015, ,,,"37,500.00",Bank Account,GIRO,38,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Invoice,108018,1220,Order 106018,Purchase,NATIONAL,MISC,"6,600.00",G/L Account,,39,0.00,PROD,2,Fixed Asset,Increases during the Year,,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,"1,650.00"
01/01/2022,Invoice,108018,5630,Order 106018, ,,,"1,650.00",G/L Account,,40,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Invoice,108018,5410,Order 106018, ,,,"-8,250.00",G/L Account,,41,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Payment,108018,2940,Order 106018, ,,,"-8,250.00",Vendor,44127904,42,0.00,,0, ,Giro Account,,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022,Payment,108018,5410,Order 106018, ,,,"8,250.00",Bank Account,GIRO,43,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,PURCHASES,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6210,"Entries, January 2022",Sale,NATIONAL,RAW MAT,"-302,521.07",G/L Account,,44,0.00,SALES,0, ,"Sales, Raw Materials - Dom.",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"-75,630.27"
01/01/2022, ,2022-1,5610,"Entries, January 2022", ,,,"-75,630.27",G/L Account,,45,0.00,SALES,0, ,Sales VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,2310,"Entries, January 2022", ,,,"378,151.34",G/L Account,,46,0.00,,0, ,Customers Domestic,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6220,"Entries, January 2022",Sale,EU,RAW MAT,"-158,919.29",G/L Account,,47,0.00,SALES,0, ,"Sales, Raw Materials - EU",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,2320,"Entries, January 2022", ,,,"158,919.29",G/L Account,,48,0.00,,0, ,"Customers, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6110,"Entries, January 2022",Sale,NATIONAL,RETAIL,"-66,834.51",G/L Account,,49,0.00,SALES,0, ,"Sales, Retail - Dom.",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"-16,708.63"
01/01/2022, ,2022-1,5610,"Entries, January 2022", ,,,"-16,708.63",G/L Account,,50,0.00,SALES,0, ,Sales VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,2310,"Entries, January 2022", ,,,"83,543.14",G/L Account,,51,0.00,,0, ,Customers Domestic,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6120,"Entries, January 2022",Sale,EU,RETAIL,"-2,119.05",G/L Account,,52,0.00,SALES,0, ,"Sales, Retail - EU",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,2320,"Entries, January 2022", ,,,"2,119.05",G/L Account,,53,0.00,,0, ,"Customers, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6130,"Entries, January 2022",Sale,EXPORT,RETAIL,"-6,287.45",G/L Account,,54,0.00,SALES,0, ,"Sales, Retail - Export",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,2320,"Entries, January 2022", ,,,"6,287.45",G/L Account,,55,0.00,,0, ,"Customers, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7210,"Entries, January 2022",Purchase,NATIONAL,RAW MAT,"175,786.20",G/L Account,,56,0.00,SALES,0, ,"Purch., Raw Materials - Dom.",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"43,946.55"
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,"43,946.55",G/L Account,,57,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5410,"Entries, January 2022", ,,,"-219,732.75",G/L Account,,58,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7220,"Entries, January 2022",Purchase,EU,RAW MAT,"86,992.08",G/L Account,,59,0.00,SALES,0, ,"Purch., Raw Materials - EU",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"21,748.02"
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,"21,748.02",G/L Account,,60,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5620,"Entries, January 2022", ,,,"-21,748.02",G/L Account,,61,0.00,SALES,0, ,Purchase VAT 25 % EU,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5420,"Entries, January 2022", ,,,"-86,992.08",G/L Account,,62,0.00,,0, ,"Vendors, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7110,"Entries, January 2022",Purchase,NATIONAL,RETAIL,"51,778.01",G/L Account,,63,0.00,SALES,0, ,"Purch., Retail - Dom.",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"12,944.50"
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,"12,944.50",G/L Account,,64,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5410,"Entries, January 2022", ,,,"-64,722.51",G/L Account,,65,0.00,,0, ,"Vendors, Domestic",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7120,"Entries, January 2022",Purchase,EU,RETAIL,"14,907.39",G/L Account,,66,0.00,SALES,0, ,"Purch., Retail - EU",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"3,726.85"
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,"3,726.85",G/L Account,,67,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5620,"Entries, January 2022", ,,,"-3,726.85",G/L Account,,68,0.00,SALES,0, ,Purchase VAT 25 % EU,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5420,"Entries, January 2022", ,,,"-14,907.39",G/L Account,,69,0.00,,0, ,"Vendors, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7130,"Entries, January 2022",Purchase,EXPORT,RETAIL,"1,647.42",G/L Account,,70,0.00,SALES,0, ,"Purch., Retail - Export",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,5420,"Entries, January 2022", ,,,"-1,647.42",G/L Account,,71,0.00,,0, ,"Vendors, Foreign",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6710,"Entries, January 2022",Sale,NATIONAL,SERVICES,"-16,590.91",G/L Account,,72,0.00,SALES,0, ,Consulting Fees - Dom.,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"-1,659.09"
01/01/2022, ,2022-1,5611,"Entries, January 2022", ,,,"-1,659.09",G/L Account,,73,0.00,SALES,0, ,Sales VAT 10 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6810,"Entries, January 2022",Sale,NATIONAL,MISC,-32.70,G/L Account,,74,0.00,SALES,0, ,Fees and Charges Rec. - Dom.,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,-8.18
01/01/2022, ,2022-1,5610,"Entries, January 2022", ,,,-8.18,G/L Account,,75,0.00,SALES,0, ,Sales VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,6910,"Entries, January 2022", ,,,"3,327.63",G/L Account,,76,0.00,SALES,0, ,Discount Granted,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7140,"Entries, January 2022", ,,,-586.33,G/L Account,,77,0.00,SALES,0, ,"Disc. Received, Retail",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,7240,"Entries, January 2022", ,,,"-1,760.88",G/L Account,,78,0.00,SALES,0, ,"Disc. Received, Raw Materials",,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8130,"Entries, January 2022",Purchase,NATIONAL,MISC,"2,110.93",G/L Account,,79,0.00,ADM,0, ,Repairs and Maintenance,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,527.73
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,527.73,G/L Account,,80,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8130,"Entries, January 2022",Purchase,NATIONAL,MISC,"3,166.39",G/L Account,,81,0.00,PROD,0, ,Repairs and Maintenance,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,791.60
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,791.60,G/L Account,,82,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8130,"Entries, January 2022",Purchase,NATIONAL,MISC,"5,277.32",G/L Account,,83,0.00,SALES,0, ,Repairs and Maintenance,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"1,319.33"
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,"1,319.33",G/L Account,,84,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8110,"Entries, January 2022",Purchase,NATIONAL,MISC,476.98,G/L Account,,85,0.00,ADM,0, ,Cleaning,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,119.25
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,119.25,G/L Account,,86,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8110,"Entries, January 2022",Purchase,NATIONAL,MISC,715.49,G/L Account,,87,0.00,PROD,0, ,Cleaning,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,178.87
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,178.87,G/L Account,,88,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8110,"Entries, January 2022",Purchase,NATIONAL,MISC,"1,192.47",G/L Account,,89,0.00,SALES,0, ,Cleaning,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,298.12
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,298.12,G/L Account,,90,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8120,"Entries, January 2022",Purchase,NATIONAL,MISC,637.29,G/L Account,,91,0.00,ADM,0, ,Electricity and Heating,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,159.32
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,159.32,G/L Account,,92,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8120,"Entries, January 2022",Purchase,NATIONAL,MISC,955.92,G/L Account,,93,0.00,PROD,0, ,Electricity and Heating,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,238.98
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,238.98,G/L Account,,94,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8120,"Entries, January 2022",Purchase,NATIONAL,MISC,"1,593.21",G/L Account,,95,0.00,SALES,0, ,Electricity and Heating,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,398.30
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,398.30,G/L Account,,96,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8130,"Entries, January 2022",Purchase,NATIONAL,MISC,"2,234.74",G/L Account,,97,0.00,ADM,0, ,Repairs and Maintenance,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,558.68
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,558.68,G/L Account,,98,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8130,"Entries, January 2022",Purchase,NATIONAL,MISC,"3,352.10",G/L Account,,99,0.00,PROD,0, ,Repairs and Maintenance,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,838.03
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,838.03,G/L Account,,100,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8130,"Entries, January 2022",Purchase,NATIONAL,MISC,"5,586.84",G/L Account,,101,0.00,SALES,0, ,Repairs and Maintenance,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,"1,396.71"
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,"1,396.71",G/L Account,,102,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8210,"Entries, January 2022",Purchase,NATIONAL,MISC,"1,097.08",G/L Account,,103,0.00,ADM,0, ,Office Supplies,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,274.27
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,274.27,G/L Account,,104,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8210,"Entries, January 2022",Purchase,NATIONAL,MISC,"1,645.62",G/L Account,,105,0.00,PROD,0, ,Office Supplies,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,411.40
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,411.40,G/L Account,,106,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8210,"Entries, January 2022",Purchase,NATIONAL,MISC,"2,742.70",G/L Account,,107,0.00,SALES,0, ,Office Supplies,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,685.67
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,685.67,G/L Account,,108,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8230,"Entries, January 2022",Purchase,NATIONAL,MISC,128.13,G/L Account,,109,0.00,ADM,0, ,Phone and Fax,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,32.03
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,32.03,G/L Account,,110,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8230,"Entries, January 2022",Purchase,NATIONAL,MISC,192.19,G/L Account,,111,0.00,PROD,0, ,Phone and Fax,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,48.05
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,48.05,G/L Account,,112,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8230,"Entries, January 2022",Purchase,NATIONAL,MISC,320.33,G/L Account,,113,0.00,SALES,0, ,Phone and Fax,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,80.08
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,80.08,G/L Account,,114,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8240,"Entries, January 2022",Purchase,NATIONAL,NO VAT,64.57,G/L Account,,115,0.00,ADM,0, ,Postage,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8240,"Entries, January 2022",Purchase,NATIONAL,NO VAT,96.85,G/L Account,,116,0.00,PROD,0, ,Postage,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8240,"Entries, January 2022",Purchase,NATIONAL,NO VAT,161.42,G/L Account,,117,0.00,SALES,0, ,Postage,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8330,"Entries, January 2022",Purchase,NATIONAL,MISC,59.46,G/L Account,,118,0.00,ADM,0, ,Other Computer Expenses,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,14.86
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,14.86,G/L Account,,119,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8330,"Entries, January 2022",Purchase,NATIONAL,MISC,89.18,G/L Account,,120,0.00,PROD,0, ,Other Computer Expenses,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,22.29
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,22.29,G/L Account,,121,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8330,"Entries, January 2022",Purchase,NATIONAL,MISC,148.63,G/L Account,,122,0.00,SALES,0, ,Other Computer Expenses,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,37.16
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,37.16,G/L Account,,123,0.00,SALES,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8410,"Entries, January 2022",Purchase,NATIONAL,MISC,"1,938.74",G/L Account,,124,0.00,ADM,0, ,Advertising,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,484.68
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,484.68,G/L Account,,125,0.00,ADM,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
01/01/2022, ,2022-1,8410,"Entries, January 2022",Purchase,NATIONAL,MISC,"2,908.11",G/L Account,,126,0.00,PROD,0, ,Advertising,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,727.03
01/01/2022, ,2022-1,5630,"Entries, January 2022", ,,,727.03,G/L Account,,127,0.00,PROD,0, ,Purchase VAT 25 %,,,,0.,,FALSE,0,0,START,EUROPE\NAVSNAP,0.00
